Date,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
1979-01-02,11.45,11.96,12.27,12.56,12.65,12.62,12.48,12.48
1979-01-03,11.52,11.99,12.3,12.6,12.69,12.66,12.51,12.51
1979-01-04,11.52,11.94,12.24,12.56,12.66,12.64,12.5,12.5
1979-01-05,11.46,11.89,12.2,12.54,12.67,12.67,12.53,12.53
1979-01-08,11.38,11.82,12.14,12.5,12.65,12.65,12.52,12.52
1979-01-09,11.43,11.93,12.25,12.58,12.68,12.66,12.53,12.53
1979-01-10,11.46,11.95,12.28,12.61,12.73,12.72,12.57,12.57
1979-01-11,11.48,12,12.31,12.63,12.76,12.76,12.6,12.6
1979-01-12,11.54,12.02,12.32,12.65,12.79,12.84,12.67,12.67
1979-01-15,11.55,12.06,12.37,12.7,12.85,12.9,12.6,12.6
1979-01-16,11.53,12.06,12.38,12.7,12.83,12.87,12.59,12.59
1979-01-17,11.64,12.17,12.48,12.78,12.92,12.97,12.66,12.66
1979-01-18,11.62,12.18,12.48,12.79,12.96,13.05,12.46,12.46
1979-01-19,11.7,12.27,12.57,12.86,13,13.08,12.49,12.49
1979-01-22,11.84,12.47,12.76,13.02,13.16,13.27,12.59,12.59
1979-01-23,11.88,12.52,12.79,13.03,13.15,13.25,12.6,12.6
1979-01-24,12.15,12.79,13.03,13.2,13.29,13.35,12.75,12.75
1979-01-25,12.1,12.75,13,13.19,13.28,13.36,12.76,12.76
1979-01-26,12.04,12.68,12.95,13.15,13.23,13.29,12.71,12.71
1979-01-29,12.1,12.73,13,13.19,13.27,13.33,12.74,12.74
1979-01-30,12.08,12.69,12.97,13.19,13.3,13.4,12.8,12.8
1979-01-31,12.11,12.72,13.01,13.24,13.34,13.42,12.81,12.81
1979-02-01,12.15,12.74,13.04,13.29,13.4,13.49,12.85,12.85
1979-02-02,12.45,12.89,13.16,13.38,13.48,13.54,12.87,12.87
1979-02-05,12.45,12.92,13.18,13.41,13.53,13.62,12.89,12.89
1979-02-06,12.48,12.93,13.18,13.42,13.56,13.69,12.97,12.97
1979-02-07,12.68,13.1,13.31,13.52,13.64,13.75,12.95,12.95
1979-02-08,12.88,13.22,13.47,13.72,13.83,13.86,12.95,12.95
1979-02-09,12.67,13.1,13.4,13.7,13.82,13.85,12.93,12.93
1979-02-12,12.57,12.95,13.29,13.64,13.78,13.82,12.91,12.91
1979-02-13,12.42,12.89,13.23,13.58,13.71,13.74,12.85,12.85
1979-02-14,12.32,12.82,13.19,13.55,13.67,13.67,12.81,12.81
1979-02-15,12.26,12.81,13.19,13.56,13.7,13.74,12.87,12.87
1979-02-16,12.14,12.73,13.09,13.44,13.59,13.67,12.88,12.88
1979-02-19,11.65,12.17,12.58,13.08,13.35,13.56,12.95,12.95
1979-02-20,11.43,11.98,12.4,12.91,13.2,13.43,13.57,13.57
1979-02-21,11.44,12,12.39,12.88,13.17,13.43,13.54,13.54
1979-02-22,11.38,11.9,12.28,12.74,13,13.23,13.41,13.41
1979-02-23,11.34,11.79,12.17,12.62,12.85,13.02,12.97,12.97
1979-02-26,11.37,11.76,12.1,12.54,12.78,12.97,12.96,12.96
1979-02-27,10.98,11.22,11.49,11.94,12.27,12.61,12.81,12.81
1979-02-28,10.84,11.13,11.33,11.63,11.91,12.26,12.66,12.66
1979-03-01,11.12,11.47,11.65,11.89,12.09,12.34,12.62,12.62
1979-03-02,11.06,11.33,11.53,11.79,11.99,12.23,12.38,12.38
1979-03-05,10.96,11.13,11.23,11.4,11.61,11.92,12.29,12.29
1979-03-06,11.01,11.18,11.29,11.52,11.77,12.11,12.4,12.4
1979-03-07,10.73,10.94,11.09,11.34,11.62,11.99,12.39,12.39
1979-03-08,10.27,10.52,10.68,10.93,11.19,11.57,12.18,12.18
1979-03-09,10.39,10.71,10.82,10.98,11.18,11.54,12.18,12.18
1979-03-12,10.44,10.74,10.87,11.03,11.23,11.58,12.16,12.16
1979-03-13,10.5,10.78,10.91,11.1,11.33,11.69,12.11,12.11
1979-03-14,10.52,10.82,10.98,11.2,11.42,11.74,12.12,12.12
1979-03-15,10.83,11.17,11.31,11.5,11.7,11.99,12.26,12.26
1979-03-16,10.8,11.07,11.22,11.42,11.6,11.85,12.13,12.13
1979-03-19,10.79,11,11.15,11.38,11.58,11.86,12.2,12.2
1979-03-20,10.62,10.77,10.9,11.1,11.32,11.67,12.16,12.16
1979-03-21,10.6,10.74,10.85,11.05,11.28,11.61,12.11,12.11
1979-03-22,10.68,10.79,10.89,11.09,11.33,11.68,12.2,12.2
1979-03-23,10.47,10.63,10.74,10.94,11.17,11.51,12.02,12.02
1979-03-26,10.53,10.72,10.81,10.98,11.2,11.56,12.21,12.21
1979-03-27,10.46,10.55,10.61,10.73,10.9,11.22,11.97,11.97
1979-03-28,10.38,10.53,10.62,10.75,10.91,11.22,11.98,11.98
1979-03-29,10.27,10.38,10.41,10.47,10.62,10.93,11.64,11.64
1979-03-30,10.26,10.4,10.41,10.47,10.61,10.92,11.75,11.75
1979-04-02,9.99,10.07,10.13,10.29,10.51,10.89,11.66,11.66
1979-04-03,10.13,10.26,10.3,10.39,10.58,10.95,11.71,11.71
1979-04-04,10.26,10.39,10.41,10.51,10.71,11.1,11.79,11.79
1979-04-05,10.29,10.4,10.39,10.48,10.68,11.06,11.76,11.76
1979-04-06,10.19,10.29,10.3,10.43,10.66,11.06,11.82,11.82
1979-04-09,10.18,10.28,10.27,10.37,10.61,11.02,11.66,11.66
1979-04-10,10.04,10.18,10.18,10.28,10.51,10.91,11.49,11.49
1979-04-11,10.01,10.15,10.14,10.24,10.47,10.88,11.69,11.69
1979-04-12,10.05,10.16,10.2,10.47,10.78,11.07,11.65,11.65
1979-04-13,10.05,10.16,10.2,10.47,10.78,11.07,11.65,11.65
1979-04-16,10.05,10.16,10.2,10.47,10.78,11.07,11.65,11.65
1979-04-17,10.06,10.14,10.21,10.5,10.81,11.09,11.68,11.68
1979-04-18,10.25,10.31,10.38,10.65,10.95,11.25,11.79,11.79
1979-04-19,10.27,10.36,10.43,10.72,11.03,11.35,11.87,11.87
1979-04-20,10.24,10.35,10.43,10.71,10.99,11.28,11.91,11.91
1979-04-23,10.24,10.38,10.46,10.72,10.97,11.23,11.87,11.87
1979-04-24,10.18,10.25,10.34,10.63,10.91,11.2,11.87,11.87
1979-04-25,10.28,10.38,10.45,10.67,10.91,11.17,11.91,11.91
1979-04-26,10.3,10.38,10.45,10.68,10.92,11.19,11.93,11.93
1979-04-27,10.23,10.26,10.34,10.61,10.87,11.15,11.9,11.9
1979-04-30,10.05,9.98,10.08,10.45,10.78,11.1,11.88,11.88
1979-05-01,10.24,10.22,10.27,10.55,10.84,11.15,11.96,11.96
1979-05-02,10.23,10.18,10.22,10.47,10.74,11.05,11.91,11.91
1979-05-03,10.16,10.11,10.14,10.38,10.65,10.96,11.89,11.89
1979-05-04,10.18,10.12,10.13,10.29,10.52,10.81,11.81,11.81
1979-05-07,10.18,10.12,10.13,10.29,10.52,10.81,11.81,11.81
1979-05-08,10.32,10.28,10.26,10.4,10.62,10.93,11.87,11.87
1979-05-09,10.54,10.48,10.45,10.57,10.79,11.1,11.96,11.96
1979-05-10,10.79,10.77,10.74,10.83,11.01,11.26,12.07,12.07
